
Configuration FH_rang_c=0.945_n=100
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
4 10 100 0.100504 10 0.500133 1 0.389984 2 1.63711 1.5625 6 0.36 10 8.85 7 4.969 0.64 2 0.78 10 0.688 0.22 10 0.36 2 0.312
5 9 100 0.175863 9 0.595248 6 0.42312 2 1.7075 1.92593 6 1.08 9 10.58 6 5.56222 0.63 1 0.74 9 0.672222 0.26 9 0.37 1 0.327778
6 9 100 0.175863 9 0.55719 8 0.423508 2 1.70635 1.46939 7 1.11 9 9.32 6 5.47222 0.64 2 0.75 9 0.681111 0.25 9 0.36 2 0.318889
7 9 100 0.252413 9 0.533385 7 0.433515 2 1.70728 1.75862 6 2.04 9 9.63 7 5.49333 0.65 2 0.72 9 0.677778 0.28 9 0.35 2 0.322222
8 9 100 0.229396 9 0.518464 6 0.413398 2 1.70899 1.76667 6 1.93 9 9.48 6 5.41333 0.62 2 0.74 8 0.687778 0.26 8 0.38 2 0.312222
9 9 100 0.142857 9 0.525255 7 0.412708 2 1.70946 1.73333 6 0.76 9 10.24 7 5.48444 0.65 6 0.76 9 0.68 0.24 9 0.35 6 0.32
10 9 100 0.229403 9 0.499806 1 0.413874 2 1.70906 1.70968 6 1.96 9 9.13 6 5.47111 0.64 1 0.72 9 0.676667 0.28 9 0.36 1 0.323333




Configuration FH_tour_t=4_n=100
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 5 100 0.229416 5 1.03602 3 0.824444 4 2.82058 3.1875 3 1.75 5 16.05 4 10.016 0.45 1 0.65 5 0.504 0.35 5 0.55 1 0.496
2 5 100 0.294884 5 0.96839 4 0.768541 3.75 2.77224 2.09091 4 3.2 5 19.43 4 9.886 0.46 3 0.65 5 0.508 0.35 5 0.54 3 0.492
3 5 100 0.274352 5 1.04518 3 0.824665 4 2.81205 3.125 3 2.17 5 15.1 3 9.78 0.46 2 0.68 5 0.52 0.32 5 0.54 2 0.48
4 5 100 0.274297 5 0.983373 3 0.800245 3.5 2.77124 2.06667 4 2.54 5 18.33 4 9.938 0.47 1 0.71 5 0.538 0.29 5 0.53 1 0.462
5 5 100 0.100504 5 1.01909 3 0.79494 4 2.82302 3.125 3 0.36 5 18.52 4 10.012 0.45 2 0.61 5 0.496 0.39 5 0.55 2 0.504
6 5 100 0.175863 5 1.10297 3 0.799513 4 2.84044 3.375 3 1.11 5 16.41 3 9.85 0.43 1 0.73 5 0.52 0.27 5 0.57 1 0.48
7 5 100 0.333198 5 1.04885 3 0.825333 3.75 2.78722 1.875 4 3.33 5 15.23 3 9.888 0.43 1 0.67 5 0.508 0.33 5 0.57 1 0.492
8 5 100 0.175863 5 1.08955 3 0.779744 4 2.84044 3.375 3 1.14 5 16.67 4 9.744 0.44 3 0.71 5 0.522 0.29 5 0.56 3 0.478
9 5 100 0.314485 5 1.01666 3 0.778919 4 2.81414 3.1875 3 3.42 5 15.67 4 9.872 0.46 1 0.66 5 0.534 0.34 5 0.54 1 0.466
10 5 100 0.252633 5 0.969601 3 0.771255 4 2.81377 3.125 3 2.35 5 17.63 4 9.848 0.48 2 0.65 5 0.536 0.35 5 0.52 2 0.464




Configuration FH_tour_t=5_n=100
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 4 100 0.654446 4 1.16014 3 1.02466 4.6 3.51801 3.04348 3 8.75 1 19.01 3 12.52 0.39 2 0.57 4 0.445 0.43 4 0.61 2 0.555
2 4 100 0.531068 4 1.31901 3 0.982126 4.6 3.56834 3.3913 3 7.18 1 22.97 3 12.3575 0.4 3 0.58 4 0.4525 0.42 4 0.6 3 0.5475
3 5 100 0.100504 5 1.27854 3 0.850777 4.8 3.06083 3.20833 3 0.31 5 20.23 3 9.78 0.4 2 0.66 5 0.512 0.34 5 0.6 2 0.488
4 4 100 0.66993 4 1.14355 2 1.00712 4.8 3.53107 2.875 3 8.18 1 18.58 3 12.4225 0.4 2 0.54 4 0.455 0.46 4 0.6 2 0.545
5 4 100 0.546054 4 1.27597 3 1.02067 4.8 3.57676 3.20833 3 8.38 1 22 3 12.515 0.37 1 0.58 4 0.4375 0.42 4 0.63 1 0.5625
6 4 100 0.623551 4 1.15765 2 1.00082 4.8 3.54722 3 3 8.1 1 19.15 3 12.3125 0.37 2 0.56 4 0.455 0.44 4 0.63 2 0.545
7 4 100 0.605926 4 1.19081 2 1.01216 5 3.57247 2.92 3 8.19 1 19.89 3 12.36 0.4 2 0.62 4 0.47 0.38 4 0.6 2 0.53
8 4 100 0.530986 4 1.32328 3 0.980614 4.6 3.56834 3.3913 3 7.09 1 22.5 3 12.18 0.39 3 0.62 4 0.4775 0.38 4 0.61 3 0.5225
9 4 100 0.499907 4 1.28637 3 0.988302 5 3.6125 3.2 3 7.33 1 22.55 3 12.34 0.39 2 0.63 4 0.4575 0.37 4 0.61 2 0.5425
10 4 100 0.623521 4 1.1424 3 0.975771 4.8 3.54722 3 3 7.46 1 19.9 3 12.31 0.39 2 0.58 4 0.455 0.42 4 0.61 2 0.545




Configuration FH_tour_t=2_n=500
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 12 100 0.127515 12 0.518973 1 0.396283 2 1.71887 1.55941 9 0.576 12 8.504 9 4.157 0.658 8 0.746 12 0.684 0.254 12 0.342 8 0.316
2 12 100 0.110208 12 0.542824 9 0.393633 2 1.72005 1.66497 9 0.444 12 9.994 9 4.171 0.66 2 0.768 12 0.683833 0.232 12 0.34 2 0.316167
3 13 100 0.0447661 13 0.530204 1 0.376948 2 1.66569 1.56459 9 0.07 13 8.748 9 3.87508 0.646 4 0.756 13 0.686615 0.244 13 0.354 4 0.313385
4 12 100 0.119159 12 0.519848 1 0.397731 2 1.71714 1.59259 9 0.504 12 9.056 10 4.1325 0.65 3 0.742 12 0.682833 0.258 12 0.35 3 0.317167
